h3,value_mean,value_std,value_count,coverage_school,coverage_hospital,coverage_pharmacy,coverage_supermarket,coverage_bus_station,coverage_park,walkability_variance,accessibility_mean,population_weighted_accessibility
886015d8c5fffff,0.38245349661774797,0.11241840313122699,114,0.008771929824561403,0.017543859649122806,0.0,0.0,0.0,0.0,0.012637897362575066,0.043859649122807015,0.043859649122807015
886015d8c7fffff,0.37916354011198095,0.008818857950300716,205,0.0,0.0,0.0,0.0,0.0,0.0,7.777225554758215e-05,0.0,0.0
886015d8e1fffff,0.3814743258129995,0.05425225662272737,63,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0029433073486582655,0.015873015873015872,0.015873015873015872
886015d8e3fffff,0.37825074348873683,0.04409610312171849,110,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.0019444663105212306,0.00909090909090909,0.00909090909090909
886015d8e5fffff,0.381585563891197,0.03249571127860366,187,0.0053475935828877,0.0,0.0,0.0,0.0,0.0,0.001055971251502369,0.0053475935828877,0.0053475935828877
886015d8e7fffff,0.38275019258710297,0.08650786298106515,115,0.008695652173913044,0.008695652173913044,0.0,0.0,0.0,0.0,0.007483610357550742,0.02608695652173913,0.02608695652173913
886015d8e9fffff,0.37876679107498235,0.01018814335542625,80,0.0,0.0,0.0,0.0,0.0,0.0,0.00010379826503071603,0.0,0.0
886015d8ebfffff,0.3797723874648445,0.05735511725584518,201,0.0,0.004975124378109453,0.0,0.0,0.0,0.0,0.00328960947543175,0.009950248756218905,0.009950248756218905
886015d8edfffff,0.37856250345980685,0.009738468548998338,2,0.0,0.0,0.0,0.0,0.0,0.0,9.48377696798298e-05,0.0,0.0
886015d903fffff,0.3728336442068437,0.012419650799012237,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0001542477259694053,0.0,0.0
886015d911fffff,0.3784237249575921,0.0651102409206008,278,0.0035971223021582736,0.0035971223021582736,0.0035971223021582736,0.0,0.0,0.0,0.00423934347273868,0.01618705035971223,0.01618705035971223
886015d913fffff,0.38032206492284754,0.03902847527028462,120,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.001523221881923218,0.008333333333333333,0.008333333333333333
886015d915fffff,0.37525551128758594,0.012579352013650576,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0001582400970833348,0.0,0.0
886015d917fffff,0.37857832388793117,0.04617097239113341,317,0.0,0.0031545741324921135,0.0,0.0,0.0,0.0,0.002131758691542803,0.006309148264984227,0.006309148264984227
886015d919fffff,0.3785548676301933,0.08809785279418206,161,0.0,0.012422360248447204,0.0,0.0,0.0,0.0,0.007761231666945373,0.024844720496894408,0.024844720496894408
886015d91bfffff,0.3830095343520611,0.011220097781914684,124,0.0,0.0,0.0,0.0,0.0,0.0,0.00012589059423572682,0.0,0.0
886015d91dfffff,0.375481696589483,0.012456472558910268,155,0.0,0.0,0.0,0.0,0.0,0.0,0.00015516370861088453,0.0,0.0
886015d931fffff,0.37787582218773835,0.050108268354864,72,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0025108385575230647,0.013888888888888888,0.013888888888888888
886015d933fffff,0.3791345650944293,0.052496451688163207,240,0.0,0.004166666666666667,0.0,0.0,0.0,0.0,0.0027558774398476534,0.008333333333333333,0.008333333333333333
886015d939fffff,0.3838284517051451,0.012570225585258747,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0001580105712642936,0.0,0.0
886015d93bfffff,0.37983253986966276,0.005882865220121968,349,0.0,0.0,0.0,0.0,0.0,0.0,3.460810319812069e-05,0.0,0.0
886015d951fffff,0.36404879347019414,,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
886015d953fffff,0.3623960824757597,0.010330931774489719,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0001067281513291613,0.0,0.0
886015d957fffff,0.36955254328873605,0.014733896086449226,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0002170876938862838,0.0,0.0
886015d981fffff,0.3834954220018641,0.06315245073777373,432,0.0,0.0023148148148148147,0.006944444444444444,0.0,0.0,0.0,0.0039882320341869375,0.015046296296296295,0.015046296296296295
886015d983fffff,0.38651560340609753,0.13181767649462775,154,0.0,0.025974025974025976,0.0,0.0,0.006493506493506494,0.0,0.017375899836442336,0.05844155844155844,0.05844155844155844
886015d985fffff,0.3844922511735464,0.03537990237977442,286,0.0,0.0,0.0034965034965034965,0.0,0.0,0.0,0.0012517374924023673,0.005244755244755245,0.005244755244755245
886015d987fffff,0.3845051406979839,0.02571084904053488,295,0.003389830508474576,0.0,0.0,0.0,0.0,0.0,0.0006610477583851732,0.003389830508474576,0.003389830508474576
886015d989fffff,0.38219227991631993,0.07476229735327403,150,0.0,0.006666666666666667,0.0,0.0,0.006666666666666667,0.0,0.005589401105539365,0.02,0.02
886015d98bfffff,0.38673519480081675,0.12204038353422689,256,0.00390625,0.01953125,0.00390625,0.0,0.00390625,0.0,0.014893855213181196,0.052734375,0.052734375
886015d98dfffff,0.38431199377590336,0.0700208994609677,167,0.005988023952095809,0.005988023952095809,0.0,0.0,0.0,0.0,0.004902926361322948,0.017964071856287425,0.017964071856287425
886015d991fffff,0.3889157936795381,0.031098523771586128,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0009671181807719074,0.0,0.0
886015d993fffff,0.3807255712670071,0.024418638483935672,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0005962699054091442,0.0,0.0
886015d995fffff,0.37487006685716373,0.00970134202176517,7,0.0,0.0,0.0,0.0,0.0,0.0,9.411603702326671e-05,0.0,0.0
886015d997fffff,0.38381217395380035,0.07596206381117512,146,0.00684931506849315,0.00684931506849315,0.0,0.0,0.0,0.0,0.005770235138453042,0.02054794520547945,0.02054794520547945
886015d999fffff,0.38346519378160193,0.03965264721513162,110,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.0015723324311676852,0.00909090909090909,0.00909090909090909
886015d99bfffff,0.3925101279246862,0.12256188550504214,166,0.024096385542168676,0.018072289156626505,0.0,0.0,0.0,0.0,0.01502141577855106,0.060240963855421686,0.060240963855421686
886015d99dfffff,0.3876310043805123,0.046493545190832875,92,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0021616497444120184,0.010869565217391304,0.010869565217391304
886015d9a1fffff,0.3791636955404721,0.06620877212591528,194,0.005154639175257732,0.005154639175257732,0.0,0.0,0.0,0.0,0.004383601506421376,0.015463917525773196,0.015463917525773196
886015d9a3fffff,0.3771278006001712,0.1426297430260985,166,0.006024096385542169,0.012048192771084338,0.018072289156626505,0.0,0.0,0.0,0.020343243595690893,0.0572289156626506,0.0572289156626506
886015d9a5fffff,0.37562081609103426,0.01300833724872688,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0001692168379766152,0.0,0.0
886015d9a7fffff,0.3814871211895657,0.07121809283492832,134,0.0,0.007462686567164179,0.0,0.0,0.0,0.0,0.0050720167470444675,0.014925373134328358,0.014925373134328358
886015d9a9fffff,0.38670765071729074,0.08994384289770095,258,0.003875968992248062,0.011627906976744186,0.0,0.0,0.0,0.0,0.008089894875206309,0.027131782945736434,0.027131782945736434
886015d9abfffff,0.3787746652896584,0.01431436610065911,114,0.0,0.0,0.0,0.0,0.0,0.0,0.00020490107686369868,0.0,0.0
886015d9adfffff,0.38023309060986443,0.025801638337715347,264,0.003787878787878788,0.0,0.0,0.0,0.0,0.0,0.0006657245409102625,0.003787878787878788,0.003787878787878788
