2026-01-03 19:24:50,090 - PathLensMaster - INFO - Logging initialized: /home/shogun/Documents/PathLens/data/logs/pathlens_master_20260103_192450.log
2026-01-03 19:24:50,091 - PathLensMaster - INFO - PathLens Master Orchestrator Starting
2026-01-03 19:24:50,091 - PathLensMaster - INFO - Project root: /home/shogun/Documents/PathLens
2026-01-03 19:24:50,091 - PathLensMaster - INFO - Config: /home/shogun/Documents/PathLens/config.yaml
2026-01-03 19:24:50,091 - PathLensMaster - INFO - Skipping data collection pipeline
2026-01-03 19:24:50,091 - PathLensMaster - INFO - ================================================================================
2026-01-03 19:24:50,091 - PathLensMaster - INFO - PIPELINE: OPTIMIZATION
2026-01-03 19:24:50,091 - PathLensMaster - INFO - ================================================================================
2026-01-03 19:24:50,091 - PathLensMaster - INFO - Command: /home/shogun/Documents/PathLens/venv/bin/python -u /home/shogun/Documents/PathLens/optimization-pipeline/run_optimization.py --ga-generations 80 --ga-config /home/shogun/Documents/PathLens/config.yaml
2026-01-03 19:26:26,505 - PathLensMaster - INFO - [optimization] Gen 2 eval:  20%|██        | 15/75 [00:00<00:02, 25.98it/s][A
2026-01-03 19:26:26,689 - PathLensMaster - INFO - [optimization] Gen 2 eval:  25%|██▌       | 19/75 [00:01<00:02, 23.04it/s][A
2026-01-03 19:26:26,916 - PathLensMaster - INFO - [optimization] Gen 2 eval:  29%|██▉       | 22/75 [00:01<00:02, 20.80it/s][A
2026-01-03 19:26:27,036 - PathLensMaster - INFO - [optimization] Gen 2 eval:  36%|███▌      | 27/75 [00:01<00:02, 21.23it/s][A
2026-01-03 19:26:27,248 - PathLensMaster - INFO - [optimization] Gen 2 eval:  43%|████▎     | 32/75 [00:01<00:01, 25.70it/s][A
2026-01-03 19:26:27,352 - PathLensMaster - INFO - [optimization] Gen 2 eval:  47%|████▋     | 35/75 [00:01<00:01, 21.60it/s][A
2026-01-03 19:26:27,531 - PathLensMaster - INFO - [optimization] Gen 2 eval:  52%|█████▏    | 39/75 [00:01<00:01, 24.98it/s][A
2026-01-03 19:26:27,644 - PathLensMaster - INFO - [optimization] Gen 2 eval:  57%|█████▋    | 43/75 [00:02<00:01, 24.11it/s][A
2026-01-03 19:26:27,751 - PathLensMaster - INFO - [optimization] Gen 2 eval:  61%|██████▏   | 46/75 [00:02<00:01, 24.64it/s][A
2026-01-03 19:26:27,952 - PathLensMaster - INFO - [optimization] Gen 2 eval:  65%|██████▌   | 49/75 [00:02<00:01, 25.46it/s][A
2026-01-03 19:26:28,077 - PathLensMaster - INFO - [optimization] Gen 2 eval:  69%|██████▉   | 52/75 [00:02<00:01, 21.38it/s][A
2026-01-03 19:26:28,217 - PathLensMaster - INFO - [optimization] Gen 2 eval:  73%|███████▎  | 55/75 [00:02<00:00, 22.03it/s][A
2026-01-03 19:26:28,341 - PathLensMaster - INFO - [optimization] Gen 2 eval:  77%|███████▋  | 58/75 [00:02<00:00, 21.88it/s][A
2026-01-03 19:26:28,490 - PathLensMaster - INFO - [optimization] Gen 2 eval:  81%|████████▏ | 61/75 [00:02<00:00, 22.48it/s][A
2026-01-03 19:26:28,597 - PathLensMaster - INFO - [optimization] Gen 2 eval:  85%|████████▌ | 64/75 [00:03<00:00, 21.77it/s][A
